date,Q4924165,Q45135243,Q79117884,Q16849893,Q79117861,Q14710143,Q7157226,Q79117914,Q55453544,Q79117759,Q79117786,Q79117444,Q89951871,Q79117746,Q79117753,Q89953896,Q78041310,Q84268104,Q89953900,Q89953905,Q89953909,Q89953912,Q84269864,Q45132727,Q79117767,Q84270575,Q79117777,Q79117795,Q89953915,Q84270595,Q79117803,Q79117810,Q84270584,Q89953919,Q79117817,Q79117832,Q79117839,Q89953922,Q89953926,Q79117847,Q79117855,Q79117869,Q79117878,Q84270590,Q89953931,Q89953935,Q89953940,Q89953944,Q89953947,Q89953948,Q89953951,Q89953955,Q89953958,Q89953964,Q89953971,Q89953976,Q89953981,Q79117891,Q89953984,Q78779260,Q89953990,Q79117899,Q89953993,Q79117907,Q89953999,Q89954005,Q79117923,Q79117930,Q79117938,Q89954010,Q79117944,Q89954015,Q89954019,Q79117951,Q84270721,Q79117827,Q83549841,Q83550305,Q83550311,Q83550317,Q83550321,Q79117740,Q7914451,Q7914452,Q7914453,Q7914456,Q7914459,Q7914466,Q7914461
2020-05-05,1,0,176,0,14,0,0,1,0,0,72,3,81,42,0,110,183,64,47,13,0,252,170,143,0,1,7,0,1,0,20,1,40,7,7,2,0,121,26,1,0,0,0,0,1495,89,28,20,9,3,0,15,18,206,0,271,360,5,25,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,7,0,10,95,3,1,0,58,0,110,0,106,0
2020-05-06,1,0,176,1,14,0,0,1,0,1,72,3,81,42,0,110,183,64,47,13,0,252,170,143,0,1,7,0,1,0,20,1,40,7,7,2,0,121,26,1,0,0,0,0,1495,89,28,20,9,3,0,15,18,207,0,271,360,5,25,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,8,0,10,95,3,1,0,58,0,110,0,106,0
2020-05-07,1,0,176,1,14,0,0,1,0,1,72,3,81,42,0,109,183,64,47,13,0,252,170,143,0,1,7,0,1,0,20,1,40,7,7,2,0,121,26,1,0,0,0,0,1495,89,28,20,9,3,0,15,18,207,0,271,360,5,25,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,8,0,10,95,3,1,0,58,0,110,0,106,0
2020-05-08,1,0,176,1,14,0,0,1,0,1,72,3,81,42,0,109,183,64,47,13,0,252,170,143,0,1,7,0,1,0,20,1,40,7,7,2,0,121,26,1,0,0,0,0,1741,89,28,20,9,3,0,15,18,207,0,271,360,5,26,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,8,0,10,95,3,1,0,58,0,110,0,354,0
2020-05-09,1,0,176,1,14,0,0,1,0,1,72,3,81,42,0,109,183,64,48,13,0,252,170,143,0,1,7,0,1,0,20,1,40,7,7,2,0,121,26,1,0,0,0,0,1796,89,28,20,9,3,0,15,18,207,0,271,360,5,27,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,8,0,10,95,3,1,0,58,0,110,0,407,0
2020-05-10,1,0,176,1,14,0,0,1,0,1,72,3,81,42,0,109,183,64,48,13,0,252,170,143,0,1,7,0,1,0,20,1,40,7,7,2,0,121,26,1,0,0,0,0,1798,89,28,20,9,3,0,15,18,207,0,271,360,5,27,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,8,0,10,95,3,1,0,58,0,110,0,407,0
2020-05-11,1,0,176,1,14,0,0,1,0,1,72,3,81,42,0,109,183,64,48,13,0,252,170,143,0,1,7,0,1,0,20,1,40,7,7,2,0,121,26,1,0,0,0,0,1799,89,28,20,9,3,0,15,18,207,0,272,360,5,28,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,8,0,10,95,3,1,0,58,0,110,0,407,0
2020-05-12,1,0,176,1,14,0,0,1,0,1,72,3,81,42,0,109,183,64,48,13,0,252,170,143,0,1,7,0,1,0,20,1,40,7,7,2,0,121,26,1,0,0,0,0,1997,89,28,20,9,3,0,15,18,207,0,272,360,5,28,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,8,0,10,95,3,1,0,58,0,110,0,407,0
2020-05-13,1,0,175,1,14,0,0,1,0,1,72,3,81,42,0,109,183,64,48,13,0,252,170,143,0,1,7,0,1,0,20,1,40,8,7,2,0,122,26,1,0,0,0,0,2009,89,28,20,9,3,0,15,18,207,0,272,358,5,28,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,8,0,10,94,3,1,0,58,0,110,0,407,0
2020-05-14,1,0,175,1,14,0,0,1,0,1,72,3,81,42,0,109,183,64,48,13,0,252,170,143,0,1,7,0,1,0,20,1,40,8,7,2,0,124,26,1,0,0,0,0,2010,89,28,20,9,3,0,15,18,207,0,274,358,5,29,2,0,5,8,308,0,20,14,12,0,16,0,0,0,181,145,0,8,0,10,94,3,1,0,59,0,110,0,407,0
