date,count
2020-05-05,11427
2020-05-06,11444
2020-05-07,11456
2020-05-08,11481
2020-05-09,11655
2020-05-10,11658
2020-05-11,11666
2020-05-12,11614
2020-05-13,11737
2020-05-14,11746
2020-05-15,11757
2020-05-16,11882
2020-05-17,11885
2020-05-18,11915
2020-05-19,11918
2020-05-20,11939
2020-05-21,12033
2020-05-22,12190
2020-05-23,12194
2020-05-24,12194
2020-05-25,12207
2020-05-26,12220
2020-05-27,12246
2020-05-28,12397
2020-05-29,12451
2020-05-30,12454
2020-05-31,12454
2020-06-01,12495
2020-06-02,12543
2020-06-03,12593
2020-06-04,12766
2020-06-05,12817
2020-06-06,12912
2020-06-07,12944
2020-06-08,12985
2020-06-09,13023
2020-06-10,13052
2020-06-11,13104
