date,Q4924165,Q45135243,Q79117884,Q16849893,Q79117861,Q14710143,Q7157226,Q79117914,Q55453544,Q79117759,Q79117786,Q79117444,Q89951871,Q79117746,Q79117753,Q89953896,Q78041310,Q84268104,Q89953900,Q89953905,Q89953909,Q89953912,Q84269864,Q45132727,Q79117767,Q84270575,Q79117777,Q79117795,Q89953915,Q84270595,Q79117803,Q79117810,Q84270584,Q89953919,Q79117817,Q79117832,Q79117839,Q89953922,Q89953926,Q79117847,Q79117855,Q79117869,Q79117878,Q84270590,Q89953931,Q89953935,Q89953940,Q89953944,Q89953947,Q89953948,Q89953951,Q89953955,Q89953958,Q89953964,Q89953971,Q89953976,Q89953981,Q79117891,Q89953984,Q78779260,Q89953990,Q79117899,Q89953993,Q79117907,Q89953999,Q89954005,Q79117923,Q79117930,Q79117938,Q89954010,Q79117944,Q89954015,Q89954019,Q79117951,Q84270721,Q79117827,Q83549841,Q83550305,Q83550311,Q83550317,Q83550321,Q79117740,Q7914451,Q7914452,Q7914453,Q7914456,Q7914459,Q7914466,Q7914461
2020-05-05,1,0,265,23,33,8,0,1,0,0,77,18,535,112,0,408,668,673,227,322,41,362,299,1095,0,74,16,0,1,0,115,1,371,259,8,2,23,200,80,28,5,0,17,80,3932,490,149,98,24,62,0,149,73,771,0,1063,916,5,63,440,0,19,53,953,0,224,54,97,0,203,0,0,563,255,335,25,21,1,58,99,4,63,0,122,0,122,0,106,0
2020-05-06,1,0,265,24,33,8,0,1,0,1,77,20,536,112,0,409,668,676,228,324,41,362,300,1097,0,74,16,0,1,0,115,1,371,260,8,2,23,200,80,28,5,0,17,80,3934,491,150,98,24,62,0,149,73,772,0,1064,916,5,63,440,0,20,53,953,0,226,56,98,0,203,0,0,564,255,336,25,22,1,58,99,4,64,0,124,0,122,0,243,0
2020-05-07,1,0,265,24,33,12,0,1,0,1,77,21,536,116,0,408,668,676,228,324,41,362,300,1097,0,74,16,0,1,0,115,1,371,260,8,2,23,200,80,28,5,0,17,80,3935,491,150,98,24,62,0,149,73,772,0,1064,916,5,63,440,0,20,53,953,0,226,60,101,0,203,0,0,564,255,336,25,22,1,58,99,4,68,0,128,0,122,0,243,0
2020-05-08,1,0,265,24,33,12,0,1,0,1,77,24,536,116,0,410,668,705,228,324,41,362,300,1096,0,74,16,0,1,0,115,1,371,260,8,2,23,200,80,29,5,0,17,80,4173,491,150,98,24,62,0,149,73,772,0,1093,916,5,64,440,0,22,53,953,0,226,63,103,0,203,0,0,564,255,336,25,22,1,58,99,4,70,0,132,0,122,0,520,0
2020-05-09,1,0,265,24,33,12,0,1,0,1,77,26,536,116,0,410,668,704,229,324,41,449,300,1138,0,74,16,0,1,0,115,1,371,260,8,2,23,200,85,29,5,0,17,80,4267,491,150,98,24,62,0,149,73,772,0,1093,957,5,65,440,0,22,53,953,0,226,65,106,0,203,0,0,564,255,336,25,22,1,58,99,4,71,0,134,0,122,0,573,0
2020-05-10,1,0,265,24,33,12,0,1,0,1,77,26,536,116,0,410,668,706,229,324,41,449,300,1138,0,74,16,0,1,0,115,1,371,260,8,2,23,200,85,29,5,0,17,80,4270,491,150,98,24,62,0,149,73,772,0,1096,957,5,65,440,0,22,53,953,0,226,65,106,0,203,0,0,564,255,336,25,22,1,58,99,4,71,0,134,0,122,0,575,0
2020-05-11,1,0,265,24,33,12,0,1,0,1,77,26,536,116,0,410,672,706,229,324,41,451,300,1138,0,74,16,0,1,0,115,1,371,261,8,2,23,200,85,29,5,0,17,80,4271,491,150,98,24,62,0,150,73,772,0,1097,957,5,66,440,0,22,53,953,0,226,65,106,0,203,0,0,564,255,336,25,22,1,58,99,4,71,0,134,0,122,0,575,0
2020-05-12,1,0,265,24,33,12,0,1,0,1,77,28,536,118,0,492,672,706,229,325,41,451,300,1220,0,74,18,0,1,0,115,1,371,261,8,2,23,200,86,29,5,0,17,80,4466,351,150,98,24,62,0,150,73,772,0,1097,959,5,66,440,0,22,53,953,0,226,67,106,0,203,0,0,564,255,336,25,22,1,58,99,4,71,0,136,0,122,0,575,0
2020-05-13,1,0,264,24,33,12,0,1,0,1,77,32,536,118,0,492,748,706,229,325,41,451,300,1220,0,74,18,0,1,0,115,1,371,262,8,2,23,201,86,29,5,0,17,80,4486,390,150,98,24,62,0,150,73,772,0,1099,958,5,66,440,0,22,53,953,0,226,71,106,0,203,0,0,564,255,336,25,22,1,58,98,4,71,0,140,0,122,0,676,0
2020-05-14,1,0,264,24,33,12,0,1,0,1,77,32,537,118,0,493,748,707,229,325,41,451,300,1220,0,74,18,0,1,0,115,1,371,262,8,2,23,203,86,29,5,0,17,80,4491,390,150,98,24,62,0,150,73,772,0,1101,958,5,67,440,0,22,53,953,0,226,71,109,0,203,0,0,564,255,336,25,22,1,58,98,4,74,0,141,0,122,0,677,0
2020-05-15,1,0,264,24,33,12,0,1,0,1,77,32,538,118,0,494,748,707,229,325,41,451,300,1220,0,74,18,0,1,0,115,1,371,264,8,2,23,203,88,29,5,0,17,80,4492,390,150,99,24,62,0,150,73,772,0,1101,958,5,67,440,0,22,53,953,0,226,71,109,0,203,0,0,564,255,336,25,22,1,58,98,4,74,0,142,0,122,0,677,0
2020-05-16,1,0,263,24,34,12,0,1,0,1,77,32,538,118,0,495,750,708,229,326,41,453,301,1221,0,74,19,0,1,0,115,1,371,264,8,2,23,204,88,30,5,0,17,80,4503,493,150,101,24,62,0,150,74,776,0,1105,958,5,67,440,0,22,53,954,0,227,71,109,0,204,0,0,564,256,337,25,22,1,58,98,4,74,0,144,0,123,0,677,0
